id,study_id,contrast_id,x,y,z,space
11322979-1,11322979,1,-36.0,-66.0,-24.0,mni152_2mm
11322979-1,11322979,1,-31.0,27.0,8.0,mni152_2mm
11322979-1,11322979,1,2.0,-25.0,36.0,mni152_2mm
11322979-1,11322979,1,2.0,-24.0,42.0,mni152_2mm
11322979-1,11322979,1,-34.0,29.0,2.0,mni152_2mm
11322979-1,11322979,1,22.0,-66.0,-16.0,mni152_2mm
11322979-1,11322979,1,-2.0,-44.0,16.0,mni152_2mm
11322979-1,11322979,1,3.0,25.0,56.0,mni152_2mm
11322979-1,11322979,1,37.0,-47.0,36.0,mni152_2mm
11322979-1,11322979,1,-11.0,-66.0,48.0,mni152_2mm
11322979-1,11322979,1,-48.0,-34.0,44.0,mni152_2mm
11322979-1,11322979,1,-44.0,-42.0,39.0,mni152_2mm
11322979-1,11322979,1,51.0,22.0,-8.0,mni152_2mm
11322979-1,11322979,1,43.0,19.0,2.0,mni152_2mm
11322979-1,11322979,1,-45.0,6.0,29.0,mni152_2mm
11322979-1,11322979,1,-47.0,3.0,32.0,mni152_2mm
11322979-1,11322979,1,45.0,19.0,-4.0,mni152_2mm
11322979-1,11322979,1,-42.0,59.0,8.0,mni152_2mm
11322979-1,11322979,1,-43.0,55.0,14.0,mni152_2mm
11322979-1,11322979,1,5.0,30.0,56.0,mni152_2mm
11322979-1,11322979,1,48.0,-46.0,39.0,mni152_2mm
11322979-1,11322979,1,58.0,17.0,32.0,mni152_2mm
11322979-1,11322979,1,58.0,17.0,32.0,mni152_2mm
11832233-1,11832233,1,-36.0,44.0,32.0,mni152_2mm
11832233-1,11832233,1,4.0,4.0,60.0,mni152_2mm
11832233-1,11832233,1,24.0,4.0,4.0,mni152_2mm
11832233-1,11832233,1,-12.0,-20.0,8.0,mni152_2mm
11832233-1,11832233,1,-60.0,-32.0,36.0,mni152_2mm
11832233-1,11832233,1,40.0,-40.0,60.0,mni152_2mm
11832233-1,11832233,1,-8.0,-60.0,56.0,mni152_2mm
11832233-1,11832233,1,36.0,-48.0,56.0,mni152_2mm
11832233-1,11832233,1,16.0,-68.0,52.0,mni152_2mm
11832233-1,11832233,1,-24.0,12.0,4.0,mni152_2mm
11832233-1,11832233,1,28.0,-76.0,32.0,mni152_2mm
11832233-1,11832233,1,-8.0,4.0,44.0,mni152_2mm
11832233-1,11832233,1,-36.0,16.0,8.0,mni152_2mm
11832233-1,11832233,1,-32.0,-12.0,64.0,mni152_2mm
